id_orgao,nm_orgao,id_estado,nm_municipio
55700,PM DE RIO PARDO,43,Rio Pardo
55500,PM DE RESTINGA SECA,43,Restinga Seca
78300,PM DE NOVO BARREIRO,43,Novo Barreiro
77300,PM DE MINAS DO LEÃO,43,Minas do Leão
49400,PM DE GUARANI DAS MISSÕES,43,Guarani das Missões
48900,PM DE GIRUÁ,43,Giruá
42800,PM DE CAÇAPAVA DO SUL,43,Caçapava do Sul
61800,PM DE TRÊS DE MAIO,43,Três de Maio
51000,PM DE JAGUARI,43,Jaguari
88025,PM DE CANUDOS DO VALE,43,Canudos do Vale
56900,PM DE SANTA MARIA,43,Santa Maria
76600,PM DE LINHA NOVA,43,Linha Nova
56200,PM DE RONDINHA,43,Rondinha
75300,PM DE DERRUBADAS,43,derrubadas
80100,PM DE SANTA TEREZA,43,Santa Tereza
46700,PM DE ENCANTADO,43,Encantado
59600,PM DE SÃO SEPÉ,43,São Sepé
79100,PM DE PONTÃO,43,Pontão
88029,PM DE CORONEL PILAR,43,Coronel Pilar
52300,PM DE MONTENEGRO,43,Montenegro
59700,PM DE SÃO VALENTIM,43,São Valentim
53400,PM DE NOVO HAMBURGO,43,Novo Hamburgo
61200,PM DE TAQUARA,43,Taquara
67200,PM DE ESTAÇÃO,43,Estação
80600,PM DE SÃO JOSÉ DAS MISSÕES,43,São José das Missões
58200,PM DE SÃO FRANCISCO DE PAULA,43,São Francisco de Paula
77900,PM DE NICOLAU VERGUEIRO,43,Nicolau Vergueiro
82400,PM DE VALE REAL,43,Vale Real
56700,PM DE SANTA BÁRBARA DO SUL,43,Santa Bárbara do Sul
88048,PM DE WESTFÁLIA,43,Westfália
60500,PM DE SERTÃO,43,Sertão
75900,PM DE GRAMADO XAVIER,43,Gramado Xavier
60700,PM DE SOBRADINHO,43,Sobradinho
55200,PM DE PUTINGA,43,Putinga
50800,PM DE JACUTINGA,43,Jacutinga
85400,PM DE BALNEÁRIO PINHAL,43,Balneário Pinhal
48600,PM DE GAURAMA,43,Gaurama
74700,PM DE CENTENÁRIO,43,Centenário
43200,PM DE CACIQUE DOBLE,43,Cacique doble
85900,PM DE TABAÍ,43,Tabaí
56500,PM DE SALVADOR DO SUL,43,Salvador do Sul
62700,PM DE VERA CRUZ,43,Vera Cruz
84800,PM DE MAÇAMBARÁ,43,Maçambará
70200,PM DE POUSO NOVO,43,Pouso Novo
82300,PM DE VALE DO SOL,43,Vale do Sol
52600,PM DE NÃO-ME-TOQUE,43,Não-Me-Toque
45200,PM DE CHAPADA,43,Chapada
75500,PM DE ENGENHO VELHO,43,Engenho Velho
72900,PM DE VILA MARIA,43,Vila Maria
50100,PM DE IJUÍ,43,Ijuí
50600,PM DE ITATIBA DO SUL,43,Itatiba do Sul
66900,PM DE ENTRE RIOS DO SUL,43,Entre Rios do Sul
47200,PM DE ERVAL SECO,43,Erval Seco
71200,PM DE SÃO JOSÉ DO HERVAL,43,São José do Herval
81100,PM DE SÃO PEDRO DO BUTIÁ,43,São Pedro do Butiá
70100,PM DE POÇO DAS ANTAS,43,Poço das Antas
57500,PM DE SANTO ÂNGELO,43,Santo Ângelo
69600,PM DE PANTANO GRANDE,43,Pantano Grande
70500,PM DE QUINZE DE NOVEMBRO,43,Quinze de Novembro
79200,PM DE PONTE PRETA,43,Ponte Preta
44100,PM DE CANDELÁRIA,43,Candelária
72800,PM DE VILA FLORES,43,Vila Flores
71300,PM DE SÃO JOSÉ DO HORTÊNCIO,43,São José do Hortêncio
66100,PM DE CERRO GRANDE DO SUL,43,Cerro Grande do Sul
78100,PM DE NOVA PÁDUA,43,Nova Pádua
60100,PM DE SARANDI,43,Sarandi
68900,PM DE LAGOÃO,43,Lagoão
41800,PM DE BARRACÃO,43,Barracão
71700,PM DE SEGREDO,43,Segredo
46100,PM DE CRUZEIRO DO SUL,43,Cruzeiro do Sul
65300,PM DE BOQUEIRÃO DO LEÃO,43,Boqueirão do Leão
65200,PM DE BARÃO,43,Barão
84400,PM DE FLORIANO PEIXOTO,43,Floriano Peixoto
69800,PM DE PAVERAMA,43,Paverama
79400,PM DE PORTO VERA CRUZ,43,Porto Vera Cruz
53800,PM DE PALMITINHO,43,Palmitinho
67600,PM DE GLORINHA,43,Glorinha
72200,PM DE TRÊS CACHOEIRAS,43,Três Cachoeiras
63600,PM DE PAROBÉ,43,Parobé
59300,PM DE SÃO PAULO DAS MISSÕES,43,São Paulo das Missões
66600,PM DE DOUTOR MAURÍCIO CARDOSO,43,doutor Maurício Cardoso
68800,PM DE JAQUIRANA,43,Jaquirana
88028,PM DE COQUEIRO BAIXO,43,Coqueiro Baixo
74900,PM DE COLINAS,43,Colinas
50000,PM DE IGREJINHA,43,Igrejinha
45900,PM DE CRISSIUMAL,43,Crissiumal
42700,PM DE BUTIÁ,43,Butiá
68500,PM DE ITACURUBI,43,Itacurubi
53100,PM DE NOVA PALMA,43,Nova Palma
57700,PM DE SANTO ANTÔNIO DAS MISSÕES,43,Santo Antônio das Missões
80400,PM DE SANTO EXPEDITO DO SUL,43,Santo Expedito do Sul
74600,PM DE CARLOS GOMES,43,Carlos Gomes
47900,PM DE FAXINAL DO SOTURNO,43,Faxinal do Soturno
85300,PM DE PASSA SETE,43,Passa Sete
48300,PM DE FORMIGUEIRO,43,Formigueiro
73500,PM DE AMETISTA DO SUL,43,Ametista do Sul
77000,PM DE MARIANA PIMENTEL,43,Mariana Pimentel
61400,PM DE TENENTE PORTELA,43,Tenente Portela
52400,PM DE MOSTARDAS,43,Mostardas
83400,PM DE CARAÁ,43,Caraá
83700,PM DE CHUVISCA,43,Chuvisca
77200,PM DE MATO LEITÃO,43,Mato Leitão
80700,PM DE SÃO JOSÉ DO INHACORÁ,43,São José do Inhacorá
83000,PM DE BARRA DO QUARAÍ,43,Barra do Quaraí
54100,PM DE PASSO FUNDO,43,Passo Fundo
78900,PM DE PINHAL GRANDE,43,Pinhal Grande
70700,PM DE RIOZINHO,43,Riozinho
62600,PM DE VENÂNCIO AIRES,43,Venâncio Aires
88021,PM DE ARROIO DO PADRE,43,Arroio do Padre
57100,PM DE SANT'ANA DO LIVRAMENTO,43,Sant'ana do Livramento
57900,PM DE SANTO CRISTO,43,Santo Cristo
74300,PM DE CAMPESTRE DA SERRA,43,Campestre da Serra
65500,PM DE CAMARGO,43,Camargo
41900,PM DE BARRA DO RIBEIRO,43,Barra do Ribeiro
88036,PM DE NOVO XINGU,43,Novo Xingu
43300,PM DE CAIBATÉ,43,Caibaté
63900,PM DE COTIPORÃ,43,Cotiporã
63400,PM DE CAPÃO DA CANOA,43,Capão da Canoa
86100,PM DE TURUÇU,43,Turuçu
43600,PM DE CAMBARÁ DO SUL,43,Cambará do Sul
54200,PM DE PEDRO OSÓRIO,43,Pedro Osório
72300,PM DE TRÊS PALMEIRAS,43,Três Palmeiras
45500,PM DE COLORADO,43,Colorado
45800,PM DE CORONEL BICACO,43,Coronel Bicaco
77700,PM DE MORRO REUTER,43,Morro Reuter
65900,PM DE CERRO BRANCO,43,Cerro Branco
53000,PM DE NOVA BRÉSCIA,43,Nova Bréscia
76900,PM DE MARATÁ,43,Maratá
54700,PM DE PLANALTO,43,Planalto
76800,PM DE MAQUINÉ,43,Maquiné
88041,PM DE QUATRO IRMÃOS,43,Quatro Irmãos
66500,PM DE DOIS LAJEADOS,43,dois Lajeados
66800,PM DE ENTRE-IJUÍS,43,Entre-Ijuís
69300,PM DE NOVA ESPERANÇA DO SUL,43,Nova Esperança do Sul
54400,PM DE PELOTAS,43,Pelotas
44700,PM DE CARLOS BARBOSA,43,Carlos Barbosa
74500,PM DE CAPITÃO,43,Capitão
79500,PM DE PRESIDENTE LUCENA,43,Presidente Lucena
53500,PM DE OSÓRIO,43,Osório
59000,PM DE SÃO MARCOS,43,São Marcos
62800,PM DE VERANÓPOLIS,43,Veranópolis
47600,PM DE ESTEIO,43,Esteio
88045,PM DE SÃO JOSÉ DO SUL,43,São José do Sul
