cnpj_cei,razao_social,natureza_juridica,cnae_2_0_classe_2,cep_estab,porte_estabelecimento,tamanho_estabelecimento,qtd_vinculos_ativos,nome_socio,qualificacao_socio,munic_contrato_vigente,munic_contrato_expirado
10.553.099/0001-02,COOPERATIVA PROD AGRICOLAS IGREJINHA COOPAI        ,Cooperativa,Com�rcio Atacadista,95650-000,Outros,0 Empregado,0,"Ernani Arnoldo Faiffer                                                                                                                                       , Luiz Fernando Carasai                                                                                                                                        ","Presidente, Diretor",Igrejinha,Igrejinha
07.635.210/0001-03,COOPERATIVA REG PRODUTORES ECOLOGISTAS LIT NORTE RS,Cooperativa,Com�rcio Atacadista,95580-000,Outros,De 1 a 4,2,"Juarez Righez                                                                                                                                                , Lenilson Webber Carlos                                                                                                                                       ","Diretor, Presidente","Três Cachoeiras, Maquiné, Xangri-Lá, Arroio do Meio, Garibaldi, Morrinhos do Sul, Caxias do Sul","Xangri-Lá, Caxias do Sul, Morrinhos do Sul, Três Cachoeiras"
09.660.975/0001-10,COOP DOS PRODUTORES VENANCIO AIRES COOP            ,Cooperativa,Atividades de Organi,95800-000,Outros,0 Empregado,0,"Marnei Rubens Becker                                                                                                                                         , Silvia Alexsandra Dos Santos                                                                                                                                 ","Presidente, Diretor",Venâncio Aires,Venâncio Aires
10.568.281/0001-37,COOPERATIVA DOS TRABALHADORES DA REFORMA AGRARIA TER,Cooperativa,Com�rcio Varejista d,92480-000,Outros,De 5 a 9,8,"Arnaldo Soares Borges                                                                                                                                        , Carlos Alberto De Souza                                                                                                                                      , Danilo Alves                                                                                                                                                 , Emerson Jose Giacomelli                                                                                                                                      , Laureci Coradace Leal                                                                                                                                        , Leodimar Antonio Ferreira                                                                                                                                    ","Diretor, Diretor, Diretor, Diretor, Diretor, Presidente","Glorinha, Três de Maio, Osório, Balneário Pinhal, Palmares do Sul, Mostardas, Capão do Leão, Caçapava do Sul, Itaqui","Imbé, Capão do Leão, Balneário Pinhal, Pelotas, Mostardas"
00.861.664/0001-45,COOPERATIVA DE PRODUCAO AGROPECUARIA NOVA SANTA RITA,Cooperativa,"Abate de Su�nos, Ave",92480-000,Outros,De 1 a 4,3,"Airton Luiz Rubenich                                                                                                                                         , Julcemir Fernando Marcon                                                                                                                                     , Mauri Joao Marcon                                                                                                                                            , Mirian Manfron                                                                                                                                               , Nilvo Fernando Bosa                                                                                                                                          ","Diretor, Diretor, Diretor, Diretor, Presidente","Glorinha, Cerro Grande do Sul, Balneário Pinhal, Estância Velha","Estância Velha, Esteio, Nova Santa Rita"
89.774.160/0005-25,COOPERATIVA LANGUIRU LTDA                          ,Cooperativa,"Abate de Su�nos, Ave",95893-000,Outros,De 500 a 999,898,,,"Minas do Leão, Vale do Sol, Tabaí, Pantano Grande, Colinas, Putinga, Coqueiro Baixo, Poço das Antas, Encantado, Capitão, Paverama, Jaguarão, dois Lajeados, Vespasiano Corrêa, Relvado, Nova Bréscia, Roca Sales, Marques de Souza, doutor Ricardo, Lajeado, Arroio do Meio, Teutônia, São Jerônimo, Paraíso do Sul, Maratá, General Câmara","Paverama, Coqueiro Baixo, Vale do Sol, Fazenda Vilanova, Lajeado, Minas do Leão, Pantano Grande, Marques de Souza, Morro Redondo, Nova Bréscia, Butiá, Roca Sales, Vespasiano Corrêa, Colinas, Poço das Antas, Muçum, Capitão, Relvado, Tabaí, Maratá, doutor Ricardo, Arroio do Meio"
21.308.597/0001-06,COOPERNOROESTECOOP DE AGRIC FAMILI DO NOROESTE GAUCH,Cooperativa,Com�rcio Varejista d,98910-000,Outros,0 Empregado,0,"Anisia Irena Schast Trevisan                                                                                                                                 , Carla Adriana Grohs Wagentantz                                                                                                                               ","Presidente, Diretor",Três de Maio,Três de Maio
89.774.160/0006-06,COOPERATIVA LANGUIRU LTDA                          ,Cooperativa,Fabrica��o de Latic�,95890-000,Outros,De 100 a 249,199,,,"Minas do Leão, Westfália, Vale do Sol, Tabaí, Pantano Grande, Colinas, Putinga, Barão, Cruzeiro do Sul, Poço das Antas, Encantado, Maratá, Capitão, Paverama, Jaguarão, Vespasiano Corrêa, dois Lajeados, Coqueiro Baixo, Nova Bréscia, Boa Vista do Sul, Relvado, Santa Maria, Lavras do Sul, Roca Sales, Marques de Souza, Lajeado, doutor Ricardo, Fontoura Xavier, Teutônia, Vera Cruz, Progresso, São Jerônimo, Paraíso do Sul, Arroio do Meio, General Câmara, Muçum","Barão, Paverama, Maratá, Nova Bréscia, Fazenda Vilanova, Cruzeiro do Sul, Colinas, Muçum, Minas do Leão, dois Lajeados, Morro Redondo, Marques de Souza, Lajeado, Roca Sales, Westfália, Vespasiano Corrêa, Fontoura Xavier, Capitão, Relvado, Tabaí, Boa Vista do Sul, Progresso, Pantano Grande, doutor Ricardo, Arroio do Meio, Poço das Antas"
91.022.632/0001-01,COOP AGRIC MISTA NOVA PALMA LTDA                   ,Cooperativa,Com�rcio Atacadista,97250-000,Outros,De 100 a 249,112,"Claudimir Jose Piccin                                                                                                                                        , Euclides Vestena                                                                                                                                             ","Diretor, Presidente","Jaguari, Santa Maria, Santa Bárbara do Sul, Caçapava do Sul, Igrejinha, Ijuí, Nova Palma, Flores da Cunha, Vera Cruz, São Sepé, Faxinal do Soturno, Caxias do Sul, Pelotas, Rio Grande, Itaqui",
88.587.357/0001-69,COOPERATIVA SANTA CLARA LTDA                       ,Cooperativa,Servi�os Combinados,95185-000,Outros,De 100 a 249,102,"Alexandre Guerra                                                                                                                                             , Rogerio Bruno Sauthier                                                                                                                                       ","Diretor, Presidente","Coronel Pilar, Paraí","Coronel Pilar, Muçum"
12.267.460/0001-60,COOPERATIVA REGIONAL DA AGRICULTURA FAMILIAR DE GETU,Cooperativa,Com�rcio Atacadista,99900-000,Outros,0 Empregado,0,"Gilmar Centenaro                                                                                                                                             , Lucimar Giaretta Vitali                                                                                                                                      ","Diretor, Presidente","Estação, Sertão, Floriano Peixoto","Floriano Peixoto, Charrua, Estação"
91.360.420/0001-34,COOP SUINOCULTORES DO CAI SUPERIOR LTDA            ,Cooperativa,"Abate de Su�nos, Ave",95785-000,Outros,De 250 a 499,397,"Celso Jose Neis                                                                                                                                              , Inacio Francisco Loff                                                                                                                                        ","Presidente, Diretor","Santa Maria, Capão do Leão, Palmares do Sul, Mostardas, Garibaldi, Rio Grande, Caçapava do Sul","Capão do Leão, Harmonia, Santa Maria, Lajeado, Mostardas"
