id_estado,nm_municipio,licitacao_ano,nr_item,ds_item,qt_itens_licitacao,vl_unitario_estimado,vl_total_estimado,contrato_ano,qt_itens_contrato,vl_item_contrato,vl_total_item_contrato
43,Quatro Irmãos,13/2017,12,Pao tipo caseirinho 50g,190 KG,11,2090,12/2018,190 KG,11,2090
43,Quatro Irmãos,13/2017,9,Massa elaborada,50 KG,19,950,12/2018,50 KG,19,950
43,Quatro Irmãos,13/2017,8,Massa caseira media,120 KG,9.5,1140,12/2018,120 KG,9.5,1140
43,Quatro Irmãos,13/2017,7,Massa caseira lasanha,40 KG,10,400,12/2018,40 KG,10,400
43,Quatro Irmãos,13/2017,4,Cuca caseira,160 KG,10,1600,12/2018,160 KG,10,1600
43,Quatro Irmãos,13/2017,1,Bolacha,70 KG,13.5,945,12/2018,70 KG,13.5,945
43,Três de Maio,2/2017,3,Alface lisa,170 KG,9.23,1569.1,73/2017,170 KG,9.23,1569.1
43,Três de Maio,2/2017,4,Bergamota,1700 KG,3.04,5168,73/2017,1700 KG,3.04,5168
43,Três de Maio,2/2017,5,Beterraba,400 KG,3.26,1305.32,73/2017,400 KG,3.26,1304
43,Três de Maio,2/2017,6,Brócolis,400 KG,13.66,5464,73/2017,400 KG,13.66,5464
43,Três de Maio,2/2017,7,Couve chinesa,185 KG,4.33,801.05,73/2017,185 KG,4.33,801.05
43,Três de Maio,2/2017,8,"Couve em folhas verde, maço 200gr",120 UN,2.93,352,73/2017,120 UN,2.93,351.6
43,Três de Maio,2/2017,9,Couve flor,380 KG,12.39,4708.2,73/2017,380 KG,12.39,4708.2
43,Três de Maio,2/2017,10,Espinafre,160 UN,2.63,421.33,73/2017,160 UN,2.63,420.8
43,Três de Maio,2/2017,12,Laranja,2370 KG,2.95,6991.5,73/2017,2370 KG,2.95,6991.5
43,Três de Maio,2/2017,13,Melado colonial,315 KG,11.7,3685.5,73/2017,315 KG,11.7,3685.5
43,Três de Maio,2/2017,14,Mini pizza caseira,3700 UN,1.88,6956,73/2017,3700 UN,1.88,6956
43,Três de Maio,2/2017,15,Ovos de galinha,710 DZ,5.63,3997.3,73/2017,710 DZ,5.63,3997.3
43,Três de Maio,2/2017,16,Repolho verde,480 KG,3,1440,73/2017,480 KG,3,1440
43,Três de Maio,2/2017,17,Suco de uva integral,1420 L,15.74,22350.8,73/2017,1420 L,15.74,22350.8
43,Três de Maio,2/2017,18,Polpa natural de morango,300 KG,15.1,4530,73/2017,300 KG,15.1,4530
43,Três de Maio,2/2017,19,Polpa natural de laranja,300 KG,15.1,4530,73/2017,300 KG,15.1,4530
43,Butiá,2/2017,2,Batata doce in natura,864 KG,1.9,1641.6,323/2017,864 KG,1.9,1641.6
43,São Valentim,2/2017,1,"Alface, grau médio de amadurecimento, de 1ª qualidade (unidade média), ser frescas, colhidas e abrigadas de raios solares, apresentar grau de evolução completo do tamanho, aroma e cor próprias da espécie e variedade, estar livre de enfermidades e insetos, não estar danificadas por qualquer lesão de ",570 UN,2.1,1197,123/2017,570 UN,2,1140
43,São Valentim,2/2017,9,"Cebola, grau médio de amadurecimento, de 1ª qualidade, in natura deverá estar livre de enfermidades e insetos, não estar danificadas por qualquer lesão de origem física ou mecânica que afete a sua aparência, estar livre de terra aderente. ",130 KG,3.2,416,123/2017,130 KG,3.1,403
43,São Valentim,2/2017,16,"Laranja para suco de 1ª qualidade, com grau de maturação que permita o transporte, manipulação e conservação adequada para o consumo, tamanho médio, apresentado cor, sem manchas, machucaduras, bolores, sujidades, ferrugem ou outros defeitos que possam alterar sua aparência e qualidade, de colheita r",385 KG,1.88,723.8,123/2017,385 KG,1.8,693
43,São Valentim,2/2017,26,"Repolho, grau médio de amadurecimento, de 1ª qualidade, in natura deverá estar livre de enfermidades e insetos, não estar danificadas por qualquer lesão de origem física ou mecânica que afete a sua aparência.",162 KG,3.91,633.42,123/2017,162 KG,3.8,615.6
43,São Valentim,2/2017,28,"Tempero verde, grau médio de amadurecimento, de 1ª qualidade, cheiro verde, maço contendo cebolinha e salsinha, folhas íntegras, frescas, coloração uniforme, bem desenvolvidas, salsinha com talos e sem raízes.",76 UN,2.01,152.76,123/2017,76 UN,2,152
43,Santo Expedito do Sul,1/2017,12,"Cebola in natura, de tamanho médio em perfeito estado de conservação.",60 KG,0,0,69/2017,60 KG,2.98,178.8
43,Santo Expedito do Sul,1/2017,7,"Beterraba in natura, de tamanho médio, higienizada, de textura firme",27 KG,0,0,69/2017,27 KG,4.83,130.41
43,Santo Expedito do Sul,1/2017,6,"Batata inglesa, de cor rosa, higienizada,com casca íntegra",75 KG,0,0,69/2017,75 KG,1.95,146.25
43,Santo Expedito do Sul,1/2017,5,"Batata doce in natura, de cor branca, higienizada,com casca íntegra",60 KG,0,0,69/2017,60 KG,2.88,172.8
43,Santo Expedito do Sul,1/2017,3,"Aipim descascado, embalado, rotulado",60 KG,0,0,69/2017,60 KG,7.52,451.2
43,Santo Expedito do Sul,1/2017,2,"Acuçar mascavo embalado, rotulado, com validade mínima de 12 meses",70 KG,0,0,69/2017,70 KG,9.97,697.9
43,Santo Expedito do Sul,1/2017,42,"Tomate in natura, de coloração vermelha, tamanho médio, em bom estado de conservação",60 KG,0,0,69/2017,60 KG,4.67,280.2
43,Santo Expedito do Sul,1/2017,36,"Quirera de milho, embalada, rotulada",24 PAC,0,0,69/2017,24 PAC,1.7,40.8
43,Santo Expedito do Sul,1/2017,35,"Milho para pipoca, embalada, rotulada emb. 500gr",36 PAC,0,0,69/2017,36 PAC,3.5,126
43,Santo Expedito do Sul,1/2017,30,"Moranga cabotiá, tamanho médio, casca íntegra",45 KG,0,0,69/2017,45 KG,2.88,129.6
43,Santo Expedito do Sul,1/2017,26,"Maçã in natura tipo fujy, em bom estado de consercação e maturação",135 KG,0,0,69/2017,135 KG,3.91,527.85
43,Santo Expedito do Sul,1/2017,25,Leite em pó integral inspecionado,100 KG,0,0,69/2017,100 KG,31.17,3117
43,Santo Expedito do Sul,1/2017,24,"Laranja in natura, tamanho médio em perfeito estado de maturação e conservação",135 KG,0,0,69/2017,135 KG,2.57,346.95
43,Santo Expedito do Sul,1/2017,23,"Feijão preto, embalado, rotulado",60 KG,0,0,69/2017,60 KG,5.45,327
43,Santo Expedito do Sul,1/2017,21,Farinha milho inspecionada,30 KG,0,0,69/2017,30 KG,2.52,75.6
43,Santo Expedito do Sul,1/2017,20,"Farinha de trigo inspecionada, enriquecida com ferro e ácido fólico",45 KG,0,0,69/2017,45 KG,2.15,96.75
43,Santo Expedito do Sul,1/2017,19,"Ervilha verde, embalada, rotulada, congelada",10 KG,0,0,69/2017,10 KG,10.32,103.2
43,Santo Expedito do Sul,1/2017,18,Doce de frutas,30 FR,0,0,69/2017,30 FR,8.82,264.6
43,Santo Expedito do Sul,1/2017,13,"Cenoura in natura, tamanho médio, higienizada.",27 KG,0,0,69/2017,27 KG,3.9,105.3
43,Santo Expedito do Sul,1/2017,22,"Feijão vagem, de cor verde, in natura",18 KG,0,0,69/2017,18 KG,6.22,111.96
43,Santo Expedito do Sul,1/2017,11,"Capeleti ( agnolini) com recheio de peito de frango, tipo caseiro, embalado e rotulado.",45 KG,0,0,70/2017,45 KG,22.33,1004.85
43,Santo Expedito do Sul,1/2017,10,"Bolacha integral, tipo caseira, embalada e rotulada",75 KG,0,0,70/2017,75 KG,13.82,1036.5
43,Santo Expedito do Sul,1/2017,9,"Bolacha de milho, tipo caseira, embalada e rotulada",75 KG,0,0,70/2017,75 KG,12.15,911.25
43,Santo Expedito do Sul,1/2017,8,"Biscoito doce, tipo caseiro, embalado e rotulado",75 KG,0,0,70/2017,75 KG,12.15,911.25
