cd_orgao,nr_licitacao,ano_licitacao,nr_contrato,ano_contrato,nr_item,qt_itens_contrato,vl_item_contrato,vl_total_item_contrato
77000,2,2017,132,2017,2,60,2.5,150
77000,2,2017,132,2017,3,7,20,140
77000,2,2017,132,2017,4,90,2.5,225
77000,2,2017,132,2017,12,75,1,75
77000,2,2017,132,2017,15,65,1.3,84.5
55700,10,2017,83,2017,37,1500,2,3000
55700,10,2017,86,2017,16,58,1.5,87
55700,10,2017,86,2017,18,25,3.57,89.25
55700,10,2017,86,2017,21,30,1.62,48.6
55700,10,2017,86,2017,22,5,9.83,49.15
55700,10,2017,86,2017,23,11.5,8,92
55700,10,2017,86,2017,25,22,7,154
55700,10,2017,89,2017,23,11.5,8,92
55700,10,2017,89,2017,25,21,7,147
55700,10,2017,89,2017,29,40,1.5,60
55700,10,2017,89,2017,30,87.5,1,87.5
55700,10,2017,89,2017,31,29,1.5,43.5
55700,10,2017,93,2017,47,150,13,1950
55700,10,2017,93,2017,48,150,14,2100
55700,10,2017,93,2017,49,50,15.85,792.5
55700,10,2017,93,2017,50,1500,7.94,11910
55700,10,2017,93,2017,51,100,9,900
55700,10,2017,93,2017,52,50,18.06,903
55700,10,2017,94,2017,47,150,13,1950
55700,10,2017,94,2017,48,150,14,2100
55700,10,2017,94,2017,49,50,15.85,792.5
55700,10,2017,94,2017,50,1500,7.94,11910
55700,10,2017,94,2017,51,100,9,900
55700,10,2017,94,2017,52,50,18.06,903
55700,10,2017,85,2017,3,27.5,5,137.5
55700,10,2017,85,2017,4,17,21,357
55700,10,2017,85,2017,5,80,1.5,120
55700,10,2017,85,2017,6,77,2,154
55700,10,2017,85,2017,9,150,2.11,316.5
55700,10,2017,85,2017,11,89,1.2,106.8
55700,10,2017,85,2017,12,54,3.26,176.04
55700,10,2017,85,2017,16,58,1.5,87
55700,10,2017,85,2017,20,50,1.12,56
55700,10,2017,85,2017,21,30,1.62,48.6
55700,10,2017,85,2017,22,5,9.83,49.15
55700,10,2017,85,2017,23,11.5,8,92
55700,10,2017,85,2017,25,21,7,147
55700,10,2017,85,2017,28,40,1.5,60
55700,10,2017,85,2017,29,40,1.5,60
55700,10,2017,85,2017,30,87.5,1,87.5
55700,10,2017,85,2017,31,28.5,1.5,42.75
55700,10,2017,85,2017,32,33,3.5,115.5
55700,10,2017,85,2017,35,100,14.03,1403
55700,10,2017,85,2017,36,100,2.59,259
55700,10,2017,85,2017,38,84,3,252
55700,10,2017,86,2017,1,50,1.5,75
55700,10,2017,86,2017,3,27,5,135
55700,10,2017,86,2017,5,80,1.5,120
55700,10,2017,86,2017,6,77,2,154
55700,10,2017,86,2017,7,86,5.56,478.16
55700,10,2017,86,2017,8,308,2.04,628.32
55700,10,2017,86,2017,9,150,2.11,316.5
55700,10,2017,86,2017,10,73,4.59,335.07
55700,10,2017,86,2017,11,89,1.2,106.8
55700,10,2017,86,2017,12,53,3.26,172.78
55700,10,2017,86,2017,15,56,2.5,140
65200,1,2017,15,2017,7,30,22.9,687
65200,1,2017,15,2017,10,40,2.8,112
