id_orgao,ano_licitacao,nr_licitacao,nr_item,ds_item,qt_itens_licitacao,sg_unidade_medida,vl_unitario_homologado,vl_total_homologado
88041,2017,13,12,PAO TIPO CASEIRINHO 50G,190.00,KG,11.00,2090.00
88041,2017,13,9,Massa Elaborada,50.00,KG,19.00,950.00
88041,2017,13,8,MASSA CASEIRA MEDIA,120.00,KG,9.50,1140.00
88041,2017,13,7,MASSA CASEIRA LASANHA,40.00,KG,10.00,400.00
88041,2017,13,4,CUCA CASEIRA,160.00,KG,10.00,1600.00
88041,2017,13,1,BOLACHA,70.00,KG,13.50,945.00
61800,2017,2,3,ALFACE LISA,170.00,KG,9.23,1569.10
61800,2017,2,4,BERGAMOTA,1700.00,KG,3.04,5168.00
61800,2017,2,5,BETERRABA,400.00,KG,3.26,1304.00
61800,2017,2,6,BRÓCOLIS,400.00,KG,13.66,5464.00
61800,2017,2,7,COUVE CHINESA,185.00,KG,4.33,801.05
61800,2017,2,8,"COUVE EM FOLHAS VERDE, MAÇO 200GR",120.00,UN,2.93,351.60
61800,2017,2,9,COUVE FLOR,380.00,KG,12.39,4708.20
61800,2017,2,10,ESPINAFRE,160.00,UN,2.63,420.80
61800,2017,2,12,LARANJA,2370.00,KG,2.95,6991.50
61800,2017,2,13,MELADO COLONIAL,315.00,KG,11.70,3685.50
61800,2017,2,14,MINI PIZZA CASEIRA,3700.00,UN,1.88,6956.00
61800,2017,2,15,OVOS DE GALINHA,710.00,DZ,5.63,3997.30
61800,2017,2,16,REPOLHO VERDE,480.00,KG,3.00,1440.00
61800,2017,2,17,SUCO DE UVA INTEGRAL,1420.00,L,15.74,22350.80
61800,2017,2,18,POLPA NATURAL DE MORANGO,300.00,KG,15.10,4530.00
61800,2017,2,19,POLPA NATURAL DE LARANJA,300.00,KG,15.10,4530.00
42700,2017,2,2,Batata doce in natura,864.00,KG,1.90,1641.60
52300,2017,1,3,"Aipim descascado: novo, picado, congelado, em embalagem plástica transparente.",4100.00,KG,"",""
52300,2017,1,31,"Feijão preto, grupo 1, 1ª qualidade, embalagem transparente de 1kg, contendo data de validade.",1000.00,KG,"",""
52300,2017,4,5,"Geleia de bergamota, embalagem de 1kg.",500.00,KG,"",""
52300,2017,1,6,"Bergamota: madura, no ponto, cor laranja, casca íntegra, sem manchas escuras ou amareladas, sem machucados, sem sujidades, apresentação em unidades de aproximadamente 80g.",4700.00,KG,"",""
52300,2017,1,30,"Biscoito de polvilho caseiro salgado, embalagem de 500g.",1080.00,KG,"",""
52300,2017,1,33,"Bergamota: madura, no ponto, cor laranja, casca íntegra, sem manchas escuras ou amareladas, sem machucados, sem sujidades, apresentação em unidades de aproximadamente 80g.-KG",4875.00,KG,"",""
59700,2017,2,1,"ALFACE, grau médio de amadurecimento, de 1ª qualidade (unidade média), ser frescas, colhidas e abrigadas de raios solares, apresentar grau de evolução completo do tamanho, aroma e cor próprias da espécie e variedade, estar livre de enfermidades e insetos, não estar danificadas por qualquer lesão de ",570.00,UN,2.00,1140.00
59700,2017,2,9,"CEBOLA, grau médio de amadurecimento, de 1ª qualidade, in natura deverá estar livre de enfermidades e insetos, não estar danificadas por qualquer lesão de origem física ou mecânica que afete a sua aparência, estar livre de terra aderente. ",130.00,KG,3.10,403.00
59700,2017,2,16,"LARANJA PARA SUCO de 1ª qualidade, com grau de maturação que permita o transporte, manipulação e conservação adequada para o consumo, tamanho médio, apresentado cor, sem manchas, machucaduras, bolores, sujidades, ferrugem ou outros defeitos que possam alterar sua aparência e qualidade, de colheita r",385.00,KG,1.80,693.00
59700,2017,2,26,"REPOLHO, GRAU MÉDIO DE AMADURECIMENTO, de 1ª qualidade, in natura deverá estar livre de enfermidades e insetos, não estar danificadas por qualquer lesão de origem física ou mecânica que afete a sua aparência.",162.00,KG,3.80,615.60
59700,2017,2,28,"TEMPERO VERDE, grau médio de amadurecimento, de 1ª qualidade, CHEIRO VERDE, maço contendo cebolinha e salsinha, folhas íntegras, frescas, coloração uniforme, bem desenvolvidas, salsinha com talos e sem raízes.",76.00,UN,2.00,152.00
79500,2017,2,1,"SOLICITO PROVIDENCIA AQUISIÇÃO DE ALIMENTOS DA AGRICULTURA FAMILIAR, CONFORME ART. 14 DA LEI Nº 11.947 DE 16 DE JULHO DE 2011, PARA O PERÍODO DE SETEMBRO A DEZEMBRO DE 2017.",100.00,UN,82.325,8232.50
80400,2017,1,12,"CEBOLA IN NATURA, DE TAMANHO MÉDIO EM PERFEITO ESTADO DE CONSERVAÇÃO.",60.00,KG,2.98,178.80
80400,2017,1,7,"BETERRABA IN NATURA, DE TAMANHO MÉDIO, HIGIENIZADA, DE TEXTURA FIRME",27.00,KG,4.83,130.41
80400,2017,1,6,"BATATA INGLESA, DE COR ROSA, HIGIENIZADA,COM CASCA ÍNTEGRA",75.00,KG,1.95,146.25
80400,2017,1,5,"BATATA DOCE IN NATURA, DE COR BRANCA, HIGIENIZADA,COM CASCA ÍNTEGRA",60.00,KG,2.88,172.80
80400,2017,1,3,"AIPIM DESCASCADO, EMBALADO, ROTULADO",60.00,KG,7.52,451.20
80400,2017,1,2,"ACUÇAR MASCAVO EMBALADO, ROTULADO, COM VALIDADE MÍNIMA DE 12 MESES",70.00,KG,9.97,697.90
80400,2017,1,42,"TOMATE IN NATURA, DE COLORAÇÃO VERMELHA, TAMANHO MÉDIO, EM BOM ESTADO DE CONSERVAÇÃO",60.00,KG,4.67,280.20
80400,2017,1,39,"SUCO NATURAL DE UVA, ENVASADO, INSPECIONADO, COM VALIDADE MÍNIMA DE 12 MESES",150.00,L,9.00,1350.00
80400,2017,1,36,"QUIRERA DE MILHO, EMBALADA, ROTULADA",24.00,PAC,1.70,40.80
80400,2017,1,35,"MILHO PARA PIPOCA, EMBALADA, ROTULADA EMB. 500GR",36.00,PAC,3.50,126.00
80400,2017,1,30,"MORANGA CABOTIÁ, TAMANHO MÉDIO, CASCA ÍNTEGRA",45.00,KG,2.88,129.60
80400,2017,1,26,"MAÇÃ IN NATURA TIPO FUJY, EM BOM ESTADO DE CONSERCAÇÃO E MATURAÇÃO",135.00,KG,3.91,527.85
80400,2017,1,25,LEITE EM PÓ INTEGRAL INSPECIONADO,100.00,KG,31.17,3117.00
80400,2017,1,24,"LARANJA IN NATURA, TAMANHO MÉDIO EM PERFEITO ESTADO DE MATURAÇÃO E CONSERVAÇÃO",135.00,KG,2.57,346.95
80400,2017,1,23,"FEIJÃO PRETO, EMBALADO, ROTULADO",60.00,KG,5.45,327.00
80400,2017,1,21,FARINHA MILHO INSPECIONADA,30.00,KG,2.52,75.60
80400,2017,1,20,"FARINHA DE TRIGO INSPECIONADA, ENRIQUECIDA COM FERRO E ÁCIDO FÓLICO",45.00,KG,2.15,96.75
80400,2017,1,19,"ERVILHA VERDE, EMBALADA, ROTULADA, CONGELADA",10.00,KG,10.32,103.20
80400,2017,1,18,DOCE DE FRUTAS,30.00,FR,8.82,264.60
80400,2017,1,13,"CENOURA IN NATURA, TAMANHO MÉDIO, HIGIENIZADA.",27.00,KG,3.90,105.30
80400,2017,1,22,"FEIJÃO VAGEM, DE COR VERDE, IN NATURA",18.00,KG,6.22,111.96
80400,2017,1,11,"CAPELETI ( AGNOLINI) COM RECHEIO DE PEITO DE FRANGO, TIPO CASEIRO, EMBALADO E ROTULADO.",45.00,KG,22.33,1004.85
80400,2017,1,10,"BOLACHA INTEGRAL, TIPO CASEIRA, EMBALADA E ROTULADA",75.00,KG,13.82,1036.50
80400,2017,1,9,"BOLACHA DE MILHO, TIPO CASEIRA, EMBALADA E ROTULADA",75.00,KG,12.15,911.25
80400,2017,1,8,"BISCOITO DOCE, TIPO CASEIRO, EMBALADO E ROTULADO",75.00,KG,12.15,911.25
80400,2017,1,43,TORTÉI EMBALADO E ROTULADO,45.00,KG,14.63,658.35
80400,2017,1,32,"PÃO TIPO FRANCÊS, EMBALADO, UNIDADE DE 50 GR ",60.00,KG,10.82,649.20
80400,2017,1,31,"PÃO CAHORRO QUENTE, UNDADE DE 50 GR",60.00,KG,10.92,655.20
80400,2017,1,29,"MASSA TIPO ESPAGUETE, TIPO, EMBALADO, CONGELADO",60.00,KG,10.80,648.00
80400,2017,1,28,"MASSA TIPO FINA, TIPO CASEIRA, EMBALADA, ROTULADA, CONGELADA",12.00,KG,10.80,129.60
80400,2017,1,27,"MACARRÃO TIPO CASEIRO, INSPECIONADO, EMBALADO",60.00,KG,10.80,648.00
80400,2017,1,17,"CUCA CASEIRA, EMBALADO E ROTULADA",60.00,KG,9.98,598.80
65500,2017,1,4,PESSEGO FRUTA,50.00,KG,4.55,227.50
52600,2017,3,5,"OVOS DE GALINHA - DUZIAS, FRESCOS, TIPO MÉDIO, INSPECIONADOS COM EMBALAGEM APROPRIADA E DATA DE VALIDADE",1000.00,DZ,"",""
66900,2017,1,1,DOCE DE FRUTA SABOR MORANGO,29.00,KG,14.00,406.00
66900,2017,1,2,DOCE DE FRUTA SABOR  MAÇÃ,29.00,KG,12.00,348.00
88041,2017,13,6,MANDIOCA,70.00,KG,3.30,231.00
47600,2017,12,1,"PRESTAÇÃO DE SERVIÇOS DE SAÚDE-para fornecimento de até  100 exames, por mês, de Chamada Pública para Prestadores de Serviços de Exame de Ecocardiografia Transtorácica, com doppler a cores",100.00,UN,"",""
